global_step,mean,sem,ci95
1024,-1.505062597e-05,3.2121112965201096e-06,7.266300576944219e-06
2048,33.5545742873,14.136502877640577,31.97899124076327
3072,29.202358381969997,14.908915585735,33.72631018097124
4096,46.09707374985,15.49637729122768,35.055240885887535
5120,47.2844350741,15.983187352517843,36.156481752929466
6144,54.55278117300001,15.238199612213187,34.47120240004506
7168,56.117336767000005,15.731070063534169,35.586152821804205
8192,54.93869982,15.929785240326785,36.035677782330964
9216,60.6678941,17.22611005114475,38.968168238361685
10240,83.62419982,9.559680181155043,21.62549899531298
11264,82.9594003,9.999088163280238,22.619508909443056
12288,81.27264679999999,11.447177155997903,25.89531379660571
13312,86.1732518,6.016624978998241,13.610551291767239
14336,86.026814,5.879452003932569,13.300244463687937
15360,89.5237604,2.2813853481032442,5.160852206184105
16384,90.61800860000001,1.6403799528290401,3.710797259908943
17408,90.415836,1.3226007395333796,2.9919307363819674
18432,90.9320316,0.9426194513559332,2.132353343623808
19456,90.9002849,0.7798603827474716,1.764166750770124
20480,90.996921,0.9124035394025796,2.064000201969778
